Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,F1,F2,F3,F4,F5,Price
1,1,2010,72000,8,6,5,26.6,998,58.16,5,12,1,1,11,1,1.75
2,1,2015,41000,3,0,1,19.67,1582,126.2,5,12,2,2,2,2,12.5
3,1,2011,46000,2,0,1,18.2,1199,88.7,5,12,1,1,11,1,4.5
1,1,2012,87000,3,0,1,20.77,1248,88.76,7,12,2,2,2,2,6
2,1,2013,40670,3,1,2,15.2,1968,140.8,5,12,1,1,11,1,17.74
3,1,2012,75000,5,0,1,21.1,814,55.2,5,12,2,2,2,2,2.35
1,1,2013,86999,3,0,1,23.08,1461,63.1,5,12,1,1,11,1,3.5
2,1,2016,36000,3,1,1,11.36,2755,171.5,8,12,2,2,2,2,17.5
3,1,2013,64430,3,0,1,20.54,1598,103.6,5,12,1,1,11,1,5.2
1,1,2012,65932,3,0,2,22.3,1248,74,5,12,2,2,2,2,1.95
2,1,2018,25692,2,0,1,21.56,1462,103.25,5,12,1,1,11,1,9.95
3,1,2012,60000,2,1,1,16.8,1497,116.3,5,12,2,2,2,2,4.49
1,1,2015,64424,3,0,1,25.2,1248,74,5,12,1,1,11,1,5.6
2,1,2014,72000,3,1,1,12.7,2179,187.7,5,12,2,2,2,2,27
3,1,2012,85000,3,1,2,0,2179,115,5,12,1,1,11,1,17.5
1,1,2014,110000,3,0,1,13.5,2477,175.56,7,12,2,2,2,2,15
2,1,2016,58950,3,0,1,25.8,1498,98.6,5,12,1,1,11,1,5.4
3,1,2017,25000,3,0,1,28.4,1248,74,5,12,2,2,2,2,5.99
1,1,2014,77469,3,0,1,20.45,1461,83.8,5,12,1,1,11,1,6.34
2,1,2014,78500,3,1,1,14.84,2143,167.62,5,12,2,2,2,2,28
3,1,2014,32982,3,1,1,22.69,1995,190,5,12,1,1,11,1,18.55
1,1,2015,55392,3,0,2,23.65,1248,88.5,5,12,2,2,2,2,8.25
2,1,2015,55985,2,1,1,13.53,1984,177.01,5,12,1,1,11,1,23.5
3,1,2010,45807,2,0,1,18.5,1197,80,5,12,2,2,2,2,1.87
1,1,2010,33000,2,1,1,14.4,1598,103.6,5,12,1,1,11,1,2.85
2,1,2012,51920,2,0,1,16.8,1497,116.3,5,12,2,2,2,2,4.25
3,1,2012,54000,3,0,1,23.08,1461,63.1,5,12,1,1,11,1,4.25
1,1,2013,54000,2,0,2,20.92,998,67.1,5,12,2,2,2,2,2.75
2,1,2018,37430,2,0,1,17.5,1199,88.7,5,12,1,1,11,1,9.9
3,1,2007,262000,3,0,4,12.8,2494,102,7,12,2,2,2,2,4
1,1,2013,62000,3,0,1,19.01,1461,108.45,5,12,1,1,11,1,7.75
2,1,2012,87615,2,0,1,14.53,1798,138.1,5,12,2,2,2,2,6.75
3,1,2013,72000,3,1,2,11.18,2696,184,7,12,1,1,11,1,12.5
1,1,2010,35000,3,1,1,12.4,2698,179.5,5,12,2,2,2,2,11.5
2,1,2014,55431,2,0,2,16.09,1598,103.5,5,12,1,1,11,1,6.98
3,1,2009,83816,2,0,2,14,1061,64,5,12,2,2,2,2,1.85
1,1,2018,50075,3,0,1,24.3,1248,88.5,5,12,1,1,11,1,8.63
2,1,2017,52000,2,0,1,18.15,1198,82,5,12,2,2,2,2,4.85
3,1,2013,85000,3,1,1,11.74,2987,254.8,5,12,1,1,11,1,28
1,1,2013,62000,3,0,1,22.07,1199,73.9,5,12,2,2,2,2,5
2,1,2008,90000,2,0,2,19.7,796,46.3,5,12,1,1,11,1,1.25
